DataSource,RecordType,ReferenceYear,Location_State_UT,Location_Region,Location_District,Location_Block_Mandal_Taluk_Valley_Unit,Category,Parameter,Value_Numeric,Value_Text,Unit
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2011,India,NotAvailable,NotAvailable,NotAvailable,Critical,Percentage,3.3,NotAvailable,%
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2013,India,NotAvailable,NotAvailable,NotAvailable,Critical,Number of Units,253.0,NotAvailable,Count
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2013,India,NotAvailable,NotAvailable,NotAvailable,Critical,Percentage,3.8,NotAvailable,%
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2017,India,NotAvailable,NotAvailable,NotAvailable,Critical,Number of Units,313.0,NotAvailable,Count
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2017,India,NotAvailable,NotAvailable,NotAvailable,Critical,Percentage,4.5,NotAvailable,%
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2020,India,NotAvailable,NotAvailable,NotAvailable,Critical,Number of Units,270.0,NotAvailable,Count
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2020,India,NotAvailable,NotAvailable,NotAvailable,Critical,Percentage,3.9,NotAvailable,%
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2022,India,NotAvailable,NotAvailable,NotAvailable,Critical,Number of Units,260.0,NotAvailable,Count
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2022,India,NotAvailable,NotAvailable,NotAvailable,Critical,Percentage,3.7,NotAvailable,%
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2023,India,NotAvailable,NotAvailable,NotAvailable,Critical,Number of Units,199.0,NotAvailable,Count
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2023,India,NotAvailable,NotAvailable,NotAvailable,Critical,Percentage,3.0,NotAvailable,%
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2004,India,NotAvailable,NotAvailable,NotAvailable,Over-Exploited,Number of Units,839.0,NotAvailable,Count
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2004,India,NotAvailable,NotAvailable,NotAvailable,Over-Exploited,Percentage,14.7,NotAvailable,%
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2009,India,NotAvailable,NotAvailable,NotAvailable,Over-Exploited,Number of Units,802.0,NotAvailable,Count
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2009,India,NotAvailable,NotAvailable,NotAvailable,Over-Exploited,Percentage,13.7,NotAvailable,%
